step,obstacle_x,success,plan_time,approach_wp,grasp_wp,lift_wp,total_wp
0,0.4,True,0.1572890281677246,5000,5000,5000,15000
1,0.4066666666666667,True,0.15449261665344238,5000,5000,5000,15000
2,0.41333333333333333,True,0.15259575843811035,5000,5000,5000,15000
3,0.42,True,0.15273404121398926,5000,5000,5000,15000
4,0.42666666666666664,True,0.15420007705688477,5000,5000,5000,15000
5,0.4333333333333333,True,0.15425920486450195,5000,5000,5000,15000
6,0.43999999999999995,True,0.15442180633544922,5000,5000,5000,15000
7,0.4466666666666666,True,0.15705299377441406,5000,5000,5000,15000
8,0.45333333333333325,True,0.15341544151306152,5000,5000,5000,15000
9,0.4599999999999999,True,0.154252290725708,5000,5000,5000,15000
10,0.46666666666666656,True,0.1557154655456543,5000,5000,5000,15000
11,0.4733333333333332,True,0.15510129928588867,5000,5000,5000,15000
12,0.47999999999999987,True,0.15387225151062012,5000,5000,5000,15000
13,0.4866666666666665,True,0.30649733543395996,5000,5000,5000,15000
14,0.4933333333333332,True,0.15534400939941406,5000,5000,5000,15000
15,0.49999999999999983,True,0.15431737899780273,5000,5000,5000,15000
