step,obstacle_x,success,plan_time,approach_wp,grasp_wp,lift_wp,total_wp
0,0.4,True,0.1560811996459961,5000,5000,5000,15000
1,0.4066666666666667,True,0.15433216094970703,5000,5000,5000,15000
2,0.41333333333333333,True,0.15384650230407715,5000,5000,5000,15000
3,0.42,True,0.15308547019958496,5000,5000,5000,15000
4,0.42666666666666664,True,0.15389370918273926,5000,5000,5000,15000
5,0.4333333333333333,True,0.15514373779296875,5000,5000,5000,15000
6,0.43999999999999995,True,0.1553189754486084,5000,5000,5000,15000
7,0.4466666666666666,True,0.15564489364624023,5000,5000,5000,15000
8,0.45333333333333325,True,0.15357685089111328,5000,5000,5000,15000
9,0.4599999999999999,True,0.15436530113220215,5000,5000,5000,15000
10,0.46666666666666656,True,0.1553506851196289,5000,5000,5000,15000
11,0.4733333333333332,True,0.15548205375671387,5000,5000,5000,15000
12,0.47999999999999987,True,0.15450286865234375,5000,5000,5000,15000
13,0.4866666666666665,True,0.3055229187011719,5000,5000,5000,15000
14,0.4933333333333332,True,0.1552751064300537,5000,5000,5000,15000
15,0.49999999999999983,True,0.1542682647705078,5000,5000,5000,15000
