step,obstacle_x,success,plan_time,approach_wp,grasp_wp,lift_wp,total_wp
0,0.4,True,0.1593334674835205,5000,5000,5000,15000
1,0.4066666666666667,True,0.15586495399475098,5000,5000,5000,15000
2,0.41333333333333333,True,0.15454792976379395,5000,5000,5000,15000
3,0.42,True,0.1548328399658203,5000,5000,5000,15000
4,0.42666666666666664,True,0.15506744384765625,5000,5000,5000,15000
5,0.4333333333333333,True,0.15569567680358887,5000,5000,5000,15000
6,0.43999999999999995,True,0.15545225143432617,5000,5000,5000,15000
7,0.4466666666666666,True,0.15606331825256348,5000,5000,5000,15000
8,0.45333333333333325,True,0.15464305877685547,5000,5000,5000,15000
9,0.4599999999999999,True,0.15572476387023926,5000,5000,5000,15000
10,0.46666666666666656,True,0.15681195259094238,5000,5000,5000,15000
11,0.4733333333333332,True,0.15521693229675293,5000,5000,5000,15000
12,0.47999999999999987,True,0.1550886631011963,5000,5000,5000,15000
13,0.4866666666666665,True,0.30765366554260254,5000,5000,5000,15000
14,0.4933333333333332,True,0.15592145919799805,5000,5000,5000,15000
15,0.49999999999999983,True,0.15647459030151367,5000,5000,5000,15000
