step,obstacle_x,success,plan_time,approach_wp,grasp_wp,lift_wp,total_wp
0,0.4,True,0.1581873893737793,5000,5000,5000,15000
1,0.4066666666666667,True,0.1544177532196045,5000,5000,5000,15000
2,0.41333333333333333,True,0.1532437801361084,5000,5000,5000,15000
3,0.42,True,0.15431594848632812,5000,5000,5000,15000
4,0.42666666666666664,True,0.15471339225769043,5000,5000,5000,15000
5,0.4333333333333333,True,0.15456652641296387,5000,5000,5000,15000
6,0.43999999999999995,True,0.1553177833557129,5000,5000,5000,15000
7,0.4466666666666666,True,0.15613031387329102,5000,5000,5000,15000
8,0.45333333333333325,True,0.154221773147583,5000,5000,5000,15000
9,0.4599999999999999,True,0.15554428100585938,5000,5000,5000,15000
10,0.46666666666666656,True,0.15665602684020996,5000,5000,5000,15000
11,0.4733333333333332,True,0.15479826927185059,5000,5000,5000,15000
12,0.47999999999999987,True,0.15534424781799316,5000,5000,5000,15000
13,0.4866666666666665,True,0.3040134906768799,5000,5000,5000,15000
14,0.4933333333333332,True,0.15456342697143555,5000,5000,5000,15000
15,0.49999999999999983,True,0.15553545951843262,5000,5000,5000,15000
